Family,Binomial,Method,Injection,Dosage mg/kg,Tested on
Viperidae,Crotalus atrox,LDLo,IV,0.5,Dog
Viperidae,Crotalus adamanteus,LDLo,IV,0.5,Dog
Viperidae,Cerastes vipera,LD50,IV,0.5,Mouse
Colubridae,Thelotornis capensis,LD50,IP,0.5,Mouse
Viperidae,Crotalus stephensi,LD50,IV,0.514,Pigeon
Viperidae,Azemiops feae,LD50,IV,0.52,Mouse
Elapidae,Pseudechis australis,LD50,IP,0.52,Mouse
Elapidae,Hydrophis jerdonii,LD50,IP,0.53,Mouse
Elapidae,Naja nubiae,LD50,IV,0.53,Mouse
Viperidae,Bothriechis schlegelii,LD50,IP,0.531,Mouse
Viperidae,Pseudocerastes fieldi,LD50,IP,0.54,Mouse
Elapidae,Hydrophis hardwickii,LD50,SC,0.541,Mouse
Elapidae,Hydrophis annandalei,LDLo,IV,0.55,Mouse
Viperidae,Bitis gabonica,LD50,IV,0.55,Mouse
Viperidae,Vipera berus,LD50,IV,0.55,Mammal
Elapidae,Naja naja,LDLo,PA,0.555,Guinea Pig
Elapidae,Pseudonaja affinis,LD50,SC,0.56,Mouse
Viperidae,Macrovipera lebetinus,LD50,IV,0.568,Mouse
Viperidae,Crotalus pricei,LD50,IV,0.571,Pigeon
Viperidae,Protobothrops flavoviridis,LD50,IP,0.572,Mouse
Elapidae,Tropidechis carinatus,LD50,SC,0.58,Mouse
Viperidae,Crotalus helleri,LD50,IV,0.58,Mouse
